# id 	 z 	 t0 	 x0 	 x1 	 c
0 6.648851e-01 6.433448e+01 2.828314e-06 2.734004e+00 -2.188640e-01
1 7.324806e-01 -3.667963e+00 2.569840e-06 6.376453e-01 -1.648818e-02
2 1.054637e+00 -6.092747e+01 1.814831e-05 1.477539e-02 -3.979272e-01
3 1.160663e+00 -6.386199e+01 1.102810e-05 -3.000000e+00 -3.613476e-02
4 2.118632e-01 5.862956e+01 1.200897e-05 3.000000e+00 1.279323e-01
5 7.117199e-01 6.259065e+01 6.082034e-06 -1.628458e+00 -1.095114e-01
6 6.056314e-01 3.002144e+01 2.144320e-06 2.999970e+00 1.683510e-01
7 6.216646e-01 6.178530e+01 2.468021e-06 -1.596528e+00 4.119980e-01
8 7.795611e-01 4.864641e+01 2.450882e-06 4.776742e-01 3.465508e-01
9 2.798529e-01 1.000000e+02 1.077359e-06 3.000000e+00 5.000000e-01
10 4.985489e-01 -8.169947e+01 1.444247e-04 -2.727199e-01 -4.944818e-01
11 2.194603e-01 2.078098e+01 2.681416e-06 3.000000e+00 5.000000e-01
12 4.902850e-01 -8.933931e+01 1.128301e-05 -2.844559e+00 1.060287e-01
13 7.953297e-01 -2.271960e+00 2.168975e-06 -1.229017e+00 4.614178e-01
14 6.767261e-01 6.250671e+01 7.070355e-06 -2.786969e-03 -8.134156e-02
15 4.666995e-01 5.416070e+01 8.853415e-06 2.398983e+00 1.569993e-01
16 1.125354e+00 6.623080e+01 1.486039e-06 6.254880e-01 -2.916111e-01
17 7.552729e-01 6.646698e+01 1.134742e-05 3.278857e-01 -4.999993e-01
18 4.620536e-01 2.238873e+01 4.668878e-06 3.000000e+00 4.999821e-01
19 7.410319e-01 -4.588576e+01 3.399518e-04 -7.088663e-02 -5.000000e-01
20 4.570769e-01 -4.466027e+01 1.018590e-05 -5.451162e-01 1.484861e-01
21 3.155898e-01 1.728027e+01 4.846413e-06 2.999999e+00 4.999999e-01
22 1.500000e+00 -7.636934e+01 1.258192e-04 -1.683587e-01 -3.990024e-01
